time 	 force 	 position
0.311248	-0.754138   0.80458	1.67515 1.37312
0.311406	-0.754138   0.80458	1.67515 1.37312
0.3123	-0.754138   0.80458	1.67515 1.37312
0.313799	-0.754138   0.80458	1.67515 1.37312
0.314766	-0.754138   0.80458	1.67515 1.37312
0.315167	-0.754138   0.80458	1.67515 1.37312
0.316885	-0.754138   0.80458	1.67515 1.37312
0.317165	-0.754138   0.80458	1.67515 1.37312
0.318678	-0.754138   0.80458	1.67515 1.37312
0.319372	-0.754138   0.80458	1.67515 1.37312
0.320362	-0.754138   0.80458	1.67515 1.37312
0.32118	-0.754138   0.80458	1.67515 1.37312
0.322361	-0.754138   0.80458	1.67515 1.37312
0.323247	-0.754138   0.80458	1.67515 1.37312
0.324136	-0.754138   0.80458	1.67515 1.37312
0.326469	-0.754138   0.80458	1.67515 1.37312
0.326589	-0.754138   0.80458	1.67515 1.37312
0.328021	-0.754138   0.80458	1.67515 1.37312
0.32823	-0.754138   0.80458	1.67515 1.37312
0.329539	-0.754138   0.80458	1.67515 1.37312
0.330371	-0.754138   0.80458	1.67515 1.37312
0.331931	-0.754138   0.80458	1.67515 1.37312
0.332148	-0.754138   0.80458	1.67515 1.37312
0.333369	-0.754138   0.80458	1.67515 1.37312
0.334784	-0.754138   0.80458	1.67515 1.37312
0.335276	-0.754138   0.80458	1.67515 1.37312
0.336299	-0.754138   0.80458	1.67515 1.37312
0.337282	-0.754138   0.80458	1.67515 1.37312
0.338238	-0.754138   0.80458	1.67515 1.37312
0.339654	-0.754138   0.80458	1.67515 1.37312
0.340153	-0.754138   0.80458	1.67515 1.37312
0.341396	-0.754138   0.80458	1.67515 1.37312
0.34316	-0.754138   0.80458	1.67515 1.37312
0.343323	-0.754138   0.80458	1.67515 1.37312
0.344848	-0.754138   0.80458	1.67515 1.37312
0.345187	-0.754138   0.80458	1.67515 1.37312
0.346267	-0.754138   0.80458	1.67515 1.37312
0.347399	-0.754138   0.80458	1.67515 1.37312
0.348818	-0.754138   0.80458	1.67515 1.37312
0.349542	-0.754138   0.80458	1.67515 1.37312
0.35025	-0.754138   0.80458	1.67515 1.37312
0.351442	-0.754138   0.80458	1.67515 1.37312
0.352195	-0.754138   0.80458	1.67515 1.37312
0.353458	-0.754138   0.80458	1.67515 1.37312
0.354285	-0.754138   0.80458	1.67515 1.37312
0.355267	-0.754138   0.80458	1.67515 1.37312
0.356243	-0.754138   0.80458	1.67515 1.37312
0.357334	-0.754138   0.80458	1.67515 1.37312
0.358164	-0.754138   0.80458	1.67515 1.37312
0.359985	-0.754138   0.80458	1.67515 1.37312
0.360181	-0.754138   0.80458	1.67515 1.37312
0.361908	-0.754138   0.80458	1.67515 1.37312
0.362145	-0.754138   0.80458	1.67515 1.37312
0.363689	-0.754138   0.80458	1.67515 1.37312
0.364539	-0.754138   0.80458	1.67515 1.37312
0.366037	-0.754138   0.80458	1.67515 1.37312
0.36634	-0.754138   0.80458	1.67515 1.37312
0.367237	-0.754138   0.80458	1.67515 1.37312
0.368401	-0.754138   0.80458	1.67515 1.37312
0.369135	-0.754138   0.80458	1.67515 1.37312
0.370183	-0.754138   0.80458	1.67515 1.37312
0.371369	-0.754138   0.80458	1.67515 1.37312
0.372275	-0.754138   0.80458	1.67515 1.37312
0.37314	-0.754138   0.80458	1.67515 1.37312
0.374423	-0.754138   0.80458	1.67515 1.37312
0.375154	-0.754138   0.80458	1.67515 1.37312
0.378551	-0.754138   0.80458	1.67515 1.37312
0.378641	-0.754138   0.80458	1.67515 1.37312
0.378714	-0.754138   0.80458	1.67515 1.37312
0.380165	-0.754138   0.80458	1.67515 1.37312
0.380385	-0.754138   0.80458	1.67515 1.37312
0.381248	-0.754138   0.80458	1.67515 1.37312
0.382742	-0.754138   0.80458	1.67515 1.37312
0.383772	-0.754138   0.80458	1.67515 1.37312
0.384154	-0.754138   0.80458	1.67515 1.37312
0.385519	-0.754138   0.80458	1.67515 1.37312
0.386163	-0.754138   0.80458	1.67515 1.37312
0.387253	-0.754138   0.80458	1.67515 1.37312
0.388235	-0.754138   0.80458	1.67515 1.37312
0.389337	-0.754138   0.80458	1.67515 1.37312
0.390366	-0.754138   0.80458	1.67515 1.37312
0.391237	-0.754138   0.80458	1.67515 1.37312
0.392266	-0.754138   0.80458	1.67515 1.37312
0.395116	-0.754138   0.80458	1.67515 1.37312
0.395238	-0.754138   0.80458	1.67515 1.37312
0.395324	-0.754138   0.80458	1.67515 1.37312
