time 	 desired_ee_pos 	 ee_pos
0.487145	3.65647 1.38594	3.65647  1.3859
0.488144	3.65647 1.38594	3.65647  1.3859
0.489144	3.65647 1.38594	3.65647  1.3859
0.490146	3.65647 1.38594	3.65647  1.3859
0.491144	3.65647 1.38594	3.65647  1.3859
0.492144	3.65647 1.38594	3.65647  1.3859
0.493144	3.65647 1.38594	3.65647  1.3859
0.494146	3.65647 1.38594	3.65647  1.3859
0.495144	3.65647 1.38594	3.65647  1.3859
0.496169	3.65647 1.38594	3.65647  1.3859
0.497148	3.65647 1.38594	3.65647  1.3859
0.498149	3.65647 1.38594	3.65647  1.3859
0.499147	3.65647 1.38594	3.65647  1.3859
0.500146	3.65647 1.38594	3.65647  1.3859
0.501145	3.65647 1.38594	3.65647  1.3859
0.502146	3.65647 1.38594	3.65647  1.3859
0.503144	3.65647 1.38594	3.65647  1.3859
0.504144	3.65647 1.38594	3.65647  1.3859
0.505145	3.65647 1.38594	3.65647  1.3859
0.506146	3.65647 1.38594	3.65647  1.3859
0.507146	3.65647 1.38594	3.65647  1.3859
0.508144	3.65647 1.38594	3.65647  1.3859
0.509144	3.65647 1.38594	3.65647  1.3859
0.510146	3.65647 1.38594	3.65647  1.3859
0.511145	3.65647 1.38594	3.65647  1.3859
0.512145	3.65647 1.38594	3.65647  1.3859
0.513144	3.65647 1.38594	3.65647  1.3859
0.514145	3.65647 1.38594	3.65647  1.3859
0.515144	3.65647 1.38594	3.65647  1.3859
0.516144	3.65647 1.38594	3.65647  1.3859
0.517121	3.65647 1.38594	3.65647  1.3859
0.518118	3.65647 1.38594	3.65647  1.3859
0.519117	3.65647 1.38594	3.65647  1.3859
0.520116	3.65647 1.38594	3.65647  1.3859
0.521116	3.65647 1.38594	3.65647  1.3859
0.522117	3.65647 1.38594	3.65647  1.3859
0.523116	3.65647 1.38594	3.65647  1.3859
0.524116	3.65647 1.38594	3.65647  1.3859
0.525116	3.65647 1.38594	3.65647  1.3859
0.526118	3.65647 1.38594	3.65647  1.3859
0.527116	3.65647 1.38594	3.65647  1.3859
0.528126	3.65647 1.38594	3.65647  1.3859
0.529133	3.65647 1.38594	3.65647  1.3859
0.530125	3.65647 1.38594	3.65647  1.3859
0.531118	3.65647 1.38594	3.65647  1.3859
0.53212	3.65647 1.38594	3.65647  1.3859
0.53312	3.65647 1.38594	3.65647  1.3859
0.53412	3.65647 1.38594	3.65647  1.3859
0.535118	3.65647 1.38594	3.65647  1.3859
0.536116	3.65647 1.38594	3.65647  1.3859
0.537116	3.65647 1.38594	3.65647  1.3859
0.538117	3.65647 1.38594	3.65647  1.3859
0.539115	3.65647 1.38594	3.65647  1.3859
0.540116	3.65647 1.38594	3.65647  1.3859
0.541115	3.65647 1.38594	3.65647  1.3859
0.542117	3.65647 1.38594	3.65647  1.3859
0.543116	3.65647 1.38594	3.65647  1.3859
0.544115	3.65647 1.38594	3.65647  1.3859
0.545115	3.65647 1.38594	3.65647  1.3859
0.546117	3.65647 1.38594	3.65647  1.3859
0.547115	3.65647 1.38594	3.65647  1.3859
0.548121	3.65647 1.38594	3.65647  1.3859
0.549118	3.65647 1.38594	3.65647  1.3859
0.550119	3.65647 1.38594	3.65647  1.3859
0.551117	3.65647 1.38594	3.65647  1.3859
